"Time","Self side","Rank1","Rank2","Opponent","Rank1","Rank2","Type","Size","Handicap","Result1","Result2","Result3"
2014/9/7 21:58,B,10k,-9,inochi108,9k,-8,Ranked,19,0,W,0,Res.
2014/9/7 22:14,B,10k,-9,goulden,5k,-4,Ranked,19,5,B,1,Res.
2014/9/7 23:37,B,10k,-9,paopa0,9k,-8,Ranked,19,0,W,0,7.5
2014/9/7 23:59,W,10k,-9,hamonherby,11k,-10,Ranked,19,0,W,1,Res.
2014/9/8 0:30,B,10k,-9,IsaacDavis,5k,-4,Ranked,19,5,W,0,Res.
2014/9/8 1:10,B,10k,-9,takaji9160,7k,-6,Ranked,19,3,W,0,Res.
2014/9/8 2:6,B,10k,-9,MCark,8k,-7,Ranked,19,2,W,0,Res.
2014/9/8 20:8,W,10k,-9,Gotowest,13k,-12,Ranked,19,3,W,1,Res.
2014/9/8 20:33,B,10k,-9,massolit,5k,-4,Ranked,19,5,W,0,Res.
2014/9/8 23:40,B,10k,-9,MCark,7k,-6,Ranked,19,3,B,1,Res.
2014/9/9 0:7,B,10k,-9,gocats,8k,-7,Ranked,19,2,B,1,Res.
2014/9/9 0:8,B,10k,-9,wald1,9k,-8,Ranked,19,0,B,1,Res.
2014/9/9 0:41,B,10k,-9,saka75,9k,-8,Ranked,19,0,B,1,36.5
2014/9/9 2:3,B,10k,-9,masonc,8k,-7,Ranked,19,2,B,1,4.5
2014/9/9 3:5,W,10k,-9,haklee,10k,-9,Ranked,19,0,W,1,Forf.
2014/9/9 3:33,W,10k,-9,sidakak,11k,-10,Ranked,19,0,W,1,Time
2014/9/9 3:45,B,10k,-9,saka75,9k,-8,Ranked,19,0,B,1,10.5
2014/9/9 4:17,B,9k,-8,big,8k,-7,Ranked,19,0,W,0,Res.
2014/9/9 4:26,B,9k,-8,itsmeagain,6k,-5,Ranked,19,3,B,1,Res.
2014/9/9 16:19,B,9k,-8,asdfgogo,8k,-7,Ranked,19,0,W,0,6.5
2014/9/9 19:2,B,9k,-8,itsmeagain,5k,-4,Ranked,19,4,W,0,27.5
2014/9/10 1:1,B,9k,-8,ooo,8k,-7,Ranked,19,0,W,0,17.5
2014/9/10 1:28,B,9k,-8,koe567,8k,-7,Ranked,19,0,B,1,Res.
2014/9/10 15:17,W,9k,-8,elesawa,11k,-10,Free,19,2,B,0,Res.
2014/9/10 19:38,W,9k,-8,hoangly,12k,-11,Ranked,19,3,W,1,Forf.
2014/9/10 23:52,B,9k,-8,JozefK,8k,-7,Ranked,19,0,B,1,Res.
2014/9/11 0:8,B,9k,-8,yakup,8k,-7,Ranked,19,0,W,0,Res.
2014/9/11 0:21,B,9k,-8,massolit,5k,-4,Ranked,19,4,W,0,Res.
2014/9/11 1:37,W,9k,-8,dougd,10k,-9,Ranked,19,0,W,1,28.5
2014/9/11 2:56,W,9k,-8,iceknight,12k,-11,Ranked,19,3,W,1,Res.
2014/9/11 3:50,B,9k,-8,jijirro,7k,-6,Ranked,19,2,B,1,12.5
2014/9/11 4:26,W,9k,-8,AceHighlan,10k,-9,Ranked,19,0,B,0,Res.
2014/9/12 2:49,W,9k,-8,Marathon,12k,-11,Free,19,3,B,0,Res.
2014/9/13 1:28,W,9k,-8,nexus0727,10k,-9,Ranked,19,0,B,0,Res.
2014/9/13 1:36,B,9k,-8,pas3143,8k,-7,Ranked,19,0,B,1,Res.
2014/9/13 3:26,W,9k,-8,AxlAndAdv9,12k,-11,Free,19,0,W,1,13.5
2014/9/13 4:27,B,9k,-8,jabez,5k,-4,Ranked,19,4,W,0,Time
2014/9/18 0:14,B,9k,-8,togoOrnot,6k,-5,Ranked,19,3,B,1,Time
2014/9/18 3:43,B,9k,-8,gent0047,8k,-7,Ranked,19,0,B,1,Res.
2014/9/19 1:12,W,9k,-8,havefun,15k,-14,Ranked,19,6,B,0,Time
2014/9/19 15:9,B,9k,-8,newlife2,8k,-7,Ranked,19,0,W,0,Res.
2014/9/19 15:23,B,9k,-8,Photon,7k,-6,Ranked,19,2,W,0,Res.
2014/9/20 1:40,B,9k,-8,kusuoueno,6k,-5,Ranked,19,3,B,1,10.5
2014/9/20 2:7,B,9k,-8,qijuan,8k,-7,Ranked,19,0,W,0,7.5
2014/9/20 2:36,W,9k,-8,ZMG,11k,-10,Ranked,19,2,B,0,Res.
2014/9/20 20:55,W,9k,-8,markd,13k,-12,Ranked,19,4,B,0,13.5
2014/9/20 21:15,W,9k,-8,negi72,15k,-14,Ranked,19,6,W,1,5.5
2014/9/20 21:48,W,9k,-8,mariotti,11k,-10,Ranked,19,2,W,1,Time
2014/9/20 21:53,W,9k,-8,mariotti,11k,-10,Ranked,19,2,W,1,Res.
2014/9/20 22:29,W,9k,-8,markd,13k,-12,Ranked,19,4,W,1,13.5
2014/9/20 22:41,W,9k,-8,Ktarquinio,13k,-12,Ranked,19,4,W,1,17.5
